Date,y,Exchange Rate,Oil,dust,Temperature,Precipitation,Humidity,Windy
2000-01-01,373424,1129,23.95,5,-2.1,42.8,64,2.6
2000-02-01,427929,1125.4,27.35,58,-1.7,2.1,56,2.7
2000-03-01,443937,1132.4,29.78,60,6.3,3.1,55,3
2000-04-01,434071,1106.4,24.62,69,11.9,30.7,56,2.9
2000-05-01,473849,1110.3,24.73,78,17.5,75.2,66,2.3
2000-06-01,447890,1130,29.69,86,23.7,68.1,65,1.9
2000-07-01,456447,1115.4,31.58,55,26.8,114.7,73,2.1
2000-08-01,447317,1117.1,25.24,38,26.2,599.4,79,1.7
2000-09-01,459803,1109.4,35.09,38,20.7,178.5,71,1.7
2000-10-01,470669,1115,29.65,60,14.9,18.1,64,1.5
2000-11-01,455115,1140.6,31.62,64,7,27.1,57,1.8
2000-12-01,431341,1212.1,31.59,49,0.9,27,58,2.2
2001-01-01,398095,1259.7,23.43,46,-4.2,39.4,62.6,2.2
2001-02-01,392689,1261.3,27.17,58,-0.3,45.7,61,2.1
2001-03-01,450964,1249.8,24.76,75,5,18.1,61.2,2.8
2001-04-01,433180,1280.8,23.31,70,13.6,12.3,59.3,2.5
2001-05-01,470220,1321.1,27.31,67,19.1,16.5,64.1,2.1
2001-06-01,460330,1286,28.86,80,22.5,157.4,71,1.6
2001-07-01,457269,1300.7,25.73,56,25.9,698.4,79.8,1.4
2001-08-01,476642,1302.5,24.23,35,26.5,252,77.4,1
2001-09-01,421076,1282.1,26.52,27,22.5,49.3,71,1.1
2001-10-01,419422,1309.1,21.22,33,16.5,68.2,66.2,1.3
2001-11-01,373855,1297,19.39,54,7,13,64.6,1.7
2001-12-01,393462,1269.7,20,80,-0.6,15.7,63.8,2.1
2002-01-01,362304,1314.6,21.2,84,0.3,37.4,63,2.3
2002-02-01,395402,1308.5,19.7,103,2.9,2.4,55,2
2002-03-01,449487,1326,21.83,178,7.6,31.5,55,2.1
2002-04-01,444256,1326.4,26.06,171,13.6,155.1,53,2.3
2002-05-01,437327,1293.7,26.67,86,18.2,58,62,2.3
2002-06-01,403466,1226.2,23.19,83,22.2,61.4,62,2
2002-07-01,459073,1201.8,25.65,71,25.2,220.6,74,2.1
2002-08-01,477092,1190.5,25.79,63,24.2,688,79,2
2002-09-01,488734,1200.5,27.45,76,21.6,61.1,67,1.6
2002-10-01,526527,1229.4,29.42,76,12.8,45,60,2
2002-11-01,447585,1224.9,25.78,83,4,12.5,55,2.4
2002-12-01,456215,1208,25.73,87,1.7,15,60,2.2
2003-01-01,384918,1187.8,30.32,101,-2.5,14.1,60,2.5
2003-02-01,408695,1170.9,30.95,108,2.7,39.6,62,2.2
2003-03-01,404640,1190.3,33.4,103,6.5,26.8,58,2.3
2003-04-01,317171,1258,27.94,82,13.2,139.6,60,2.5
2003-05-01,265186,1213.9,23.79,103,19.6,106,57,1.8
2003-06-01,295508,1205.3,27.56,87,21.5,156,69,2
2003-07-01,376923,1194.9,28.33,55,23.8,469.8,75,1.8
2003-08-01,453805,1180.6,29.63,50,24.1,684.2,77,1.4
2003-09-01,440062,1178.5,29.64,59,20.9,258.2,72,1.1
2003-10-01,475442,1150.3,27.98,61,13.9,41.5,61,2
2003-11-01,446166,1187,27.78,64,9.5,69.3,66,2
2003-12-01,484246,1203.6,28.17,78,0.7,6.9,59,2.4
2004-01-01,423670,1194.3,29.55,72,-1.5,19.8,59,2.1
2004-02-01,403784,1174.9,30.3,83,2.3,54.6,56,2.9
2004-03-01,448874,1176.5,33.34,98,6.3,27.6,49,2.7
2004-04-01,452724,1150,32.59,86,13.1,74.1,51,2.7
2004-05-01,475935,1175.2,34.97,93,17.6,168.5,68,2.6
2004-06-01,491386,1163.2,39.05,85,23.2,138.1,64,2.1
2004-07-01,506358,1152.5,35.58,55,24.8,510.7,82,2.3
2004-08-01,522756,1171.3,41.35,51,26.1,193.3,70,2.4
2004-09-01,486468,1153.7,40.96,61,21.7,198.7,69,2.2
2004-10-01,574693,1152.7,46.86,85,15.2,6.5,54,2
2004-11-01,519539,1122.3,46.84,83,9.1,80,66,2
2004-12-01,511951,1048.1,41.19,73,1.9,27.2,56,2.2
2005-01-01,458321,1035.6,40.75,80,-2.5,4.5,52,2.4
2005-02-01,477706,1026.4,45.12,62,-1.9,17.2,49,2.8
