Date,y,Exchange Rate,Oil,dust
2000-01-01,373424,1129,23.95,5
2000-02-01,427929,1125.4,27.35,58
2000-03-01,443937,1132.4,29.78,60
2000-04-01,434071,1106.4,24.62,69
2000-05-01,473849,1110.3,24.73,78
2000-06-01,447890,1130,29.69,86
2000-07-01,456447,1115.4,31.58,55
2000-08-01,447317,1117.1,25.24,38
2000-09-01,459803,1109.4,35.09,38
2000-10-01,470669,1115,29.65,60
2000-11-01,455115,1140.6,31.62,64
2000-12-01,431341,1212.1,31.59,49
2001-01-01,398095,1259.7,23.43,46
2001-02-01,392689,1261.3,27.17,58
2001-03-01,450964,1249.8,24.76,75
2001-04-01,433180,1280.8,23.31,70
2001-05-01,470220,1321.1,27.31,67
2001-06-01,460330,1286,28.86,80
2001-07-01,457269,1300.7,25.73,56
2001-08-01,476642,1302.5,24.23,35
2001-09-01,421076,1282.1,26.52,27
2001-10-01,419422,1309.1,21.22,33
2001-11-01,373855,1297,19.39,54
2001-12-01,393462,1269.7,20,80
2002-01-01,362304,1314.6,21.2,84
2002-02-01,395402,1308.5,19.7,103
2002-03-01,449487,1326,21.83,178
2002-04-01,444256,1326.4,26.06,171
2002-05-01,437327,1293.7,26.67,86
2002-06-01,403466,1226.2,23.19,83
2002-07-01,459073,1201.8,25.65,71
2002-08-01,477092,1190.5,25.79,63
2002-09-01,488734,1200.5,27.45,76
2002-10-01,526527,1229.4,29.42,76
2002-11-01,447585,1224.9,25.78,83
2002-12-01,456215,1208,25.73,87
2003-01-01,384918,1187.8,30.32,101
2003-02-01,408695,1170.9,30.95,108
2003-03-01,404640,1190.3,33.4,103
2003-04-01,317171,1258,27.94,82
2003-05-01,265186,1213.9,23.79,103
2003-06-01,295508,1205.3,27.56,87
2003-07-01,376923,1194.9,28.33,55
2003-08-01,453805,1180.6,29.63,50
2003-09-01,440062,1178.5,29.64,59
2003-10-01,475442,1150.3,27.98,61
2003-11-01,446166,1187,27.78,64
2003-12-01,484246,1203.6,28.17,78
2004-01-01,423670,1194.3,29.55,72
2004-02-01,403784,1174.9,30.3,83
2004-03-01,448874,1176.5,33.34,98
2004-04-01,452724,1150,32.59,86
2004-05-01,475935,1175.2,34.97,93
2004-06-01,491386,1163.2,39.05,85
2004-07-01,506358,1152.5,35.58,55
2004-08-01,522756,1171.3,41.35,51
2004-09-01,486468,1153.7,40.96,61
2004-10-01,574693,1152.7,46.86,85
2004-11-01,519539,1122.3,46.84,83
2004-12-01,511951,1048.1,41.19,73
2005-01-01,458321,1035.6,40.75,80
2005-02-01,477706,1026.4,45.12,62
2005-03-01,532397,1004.8,50.47,95
2005-04-01,497955,1017.6,54.14,122
2005-05-01,475348,1001.8,50.89,71
2005-06-01,467986,1005.5,50.46,69
2005-07-01,494678,1028.8,56.41,79
2005-08-01,529911,1025.7,60.56,62
2005-09-01,507810,1037.6,66.79,48
2005-10-01,568452,1040.7,61.64,63
2005-11-01,501093,1042.8,56.69,70
2005-12-01,511095,1035.5,53.65,52
2006-01-01,433279,1013,61.51,62
2006-02-01,453525,968.6,65.64,64
2006-03-01,518041,970.6,61.12,84
